id;locale;key;value
90907;de;decidim.decidim_awesome.content_blocks.map.show_rejected;Extern weitergeleitete / nicht zuweisbare Schadensmeldungen anzeigen
90908;de;decidim.decidim_awesome.content_blocks.map.show_not_answered;Neue Schadensmeldungen anzeigen
90909;de;decidim.decidim_awesome.content_blocks.map.show_evaluating;Bewertung der Schadensmeldungen anzeigen
90910;de;decidim.decidim_awesome.content_blocks.map.show_accepted;Beantwortete Schadensmeldungen anzeigen
90911;de;decidim.decidim_awesome.admin.menu.proposal_custom_fields;Schäden: Eigene Eingabefelder
90912;de;decidim.decidim_awesome.admin.config.rich_text_editor_in_public_views;"Warnung: ""Erweiterter Text Editor für Teilnehmer"" ist aktiviert, diese Option ist inaktiv. Bitte benutzen Sie die Editor Hacks, um Bilder in Schadensmeldungen zu aktivieren."
90913;de;decidim.decidim_awesome.admin.config.form.help.proposal_custom_fields_example;"Die Daten werden in einem XML-Objekt unter Verwendung kompatibler HTML-Attribute (dl,dt,dd-Elemente) gespeichert, die den ""body"" in einer normalen Schadensmeldung ersetzen."
90914;de;decidim.decidim_awesome.admin.config.form.help.proposal_custom_fields;Erstelle eigene Eingabefelder für das Schadensmodul. Du kannst die Funktion auf einzelne Prozesse / Module beschränken.
90915;de;decidim.decidim_awesome.admin.config.form.help.allow_images_in_proposals;Bilder in Schadensmeldungen erlauben
90916;de;decidim.decidim_awesome.admin.checks.index.decidim-proposals;Von der Schadens-Komponente
90917;de;decidim.debates.debates.form.select_a_category;Bitte wählen Sie eine Kategorie
90918;de;decidim.components.reporting_proposals.settings.step.endorsements_enabled;Endorsements enabled
90919;de;decidim.components.reporting_proposals.settings.step.endorsements_blocked;Endorsements blocked
90920;de;decidim.components.reporting_proposals.settings.step.default_sort_order_options.most_endorsed;Most endorsed
90921;de;decidim.components.reporting_proposals.settings.step.comments_blocked;Comments blocked
90922;de;decidim.components.reporting_proposals.settings.global.default_sort_order_options.most_endorsed;Most endorsed
90923;de;decidim.components.reporting_proposals.settings.global.comments_max_length;Comments max length (Leave 0 for default value)
90924;de;decidim.components.reporting_proposals.settings.global.comments_enabled;Comments enabled
90925;de;decidim.components.proposals.settings.step.suggested_hashtags;Hashtags schlug Benutzern neue Schadensmeldungen vor
90926;de;decidim.components.proposals.settings.step.publish_answers_immediately;Schadensantworten sofort veröffentlichten
90927;de;decidim.components.proposals.settings.step.proposal_answering_enabled;Antworten aktivieren
90928;de;decidim.components.proposals.settings.step.default_sort_order;Standardsortierung für Schäden
90929;de;decidim.components.proposals.settings.step.creation_enabled;Teilnehmer können Schadensmeldungen erfassen
90930;de;decidim.components.proposals.settings.step.automatic_hashtags;Hashtags wurden allen Schadensmeldungen hinzugefügt
90931;de;decidim.components.proposals.settings.step.answers_with_costs;Kosten für Schadensantworten aktivieren
90932;de;decidim.components.proposals.settings.step.amendment_reaction_enabled_help;Schadensautoren können die Berichtigungen von Teilnehmern akzeptieren oder ablehnen.
90933;de;decidim.components.proposals.settings.step.amendment_promotion_enabled_help;Berichtigungsautoren können die abgelehnten Berichtigungen im Schaden hervorheben.
90934;de;decidim.components.proposals.settings.step.amendment_creation_enabled_help;Teilnehmer kann Schadensmeldungen ergänzen.
90935;de;decidim.components.proposals.settings.global.threshold_per_proposal;Schwellenwert pro Schadensmeldung
90936;de;decidim.components.proposals.settings.global.resources_permissions_enabled;Berechtigungen können für jeden Schaden festgelegt werden
90937;de;decidim.components.proposals.settings.global.proposal_wizard_step_4_help_text;"Hilfetext ""Absenden""-Schritt im Schadensassistenten"
90938;de;decidim.components.proposals.settings.global.proposal_wizard_step_3_help_text;"Hilfetext ""Fertigstellen""-Schritt im Schadensassistenten"
90939;de;decidim.components.proposals.settings.global.proposal_wizard_step_2_help_text;"Hilfetext ""Vergleichen""-Schritt im Schadensassistenten"
90940;de;decidim.components.proposals.settings.global.proposal_wizard_step_1_help_text;"Hilfetext ""erfassen""-Schritt im Schadensassistenten"
90941;de;decidim.components.proposals.settings.global.proposal_limit;Schadenslimit pro Benutzer
90942;de;decidim.components.proposals.settings.global.proposal_edit_time_choices.limited;Schadensmeldungen können nach einem spezifischen Zeitfenster nicht mehr beantwortet werden
90943;de;decidim.components.proposals.settings.global.proposal_edit_time_choices.infinite;Schadensmeldungen können beliebig lang beantwortet werden
90944;de;decidim.components.proposals.settings.global.proposal_edit_time;Schadensmeldungen anpassen
90945;de;decidim.components.proposals.settings.global.proposal_edit_before_minutes;Schadensmeldungen können von Autoren innerhalb dieser Zeit beantwortet werden
90946;de;decidim.components.proposals.settings.global.proposal_answering_enabled;Schadensantworten aktiviert
90947;de;decidim.components.proposals.settings.global.participatory_texts_enabled_readonly;Die Interaktion mit dieser Einstellung ist nicht möglich, wenn Schadensmeldungen bestehen. Bitte erfassen Sie eine neue „Schadenskomponente“, wenn Sie diese Funktion aktivieren möchten, oder verwerfen Sie alle importierten Schadensmeldungen im Menü „Beteiligungstexte“, wenn Sie diese Funktion deaktivieren möchten.
90948;de;decidim.components.proposals.settings.global.official_proposals_enabled;Offizielle Schadensmeldungen aktiviert
90949;de;decidim.components.proposals.settings.global.new_proposal_help_text;Hilfetext für neue Schäden
90950;de;decidim.components.proposals.settings.global.new_proposal_body_template_help;Sie können den vorgefüllten Text der neuen Schadensmeldungen bestimmen
90951;de;decidim.components.proposals.settings.global.new_proposal_body_template;Textvorlage für neue Schadensmeldung
90952;de;decidim.components.proposals.settings.global.default_sort_order;Standardsortierung für Schäden
90953;de;decidim.components.proposals.settings.global.amendments_enabled;ÄnderungsSchadensmeldungen aktiviert
90954;de;decidim.components.proposals.name;Schäden
90955;de;decidim.components.proposals.actions.amend;ÄnderungsSchaden
90956;de;decidim.components.component_order_selector.order.proposal;Schadensmeldung
90957;de;decidim.components.awesome_map.settings.step.show_withdrawn;Zurückgezogene Schadensmeldungenanzeigen
90958;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.x_seconds.one;1 Sekunde überfällig
90959;de;decidim.components.awesome_map.settings.step.show_rejected;Extern weitergeleitete / nicht zuweisbare Schadensmeldungen anzeigen
90960;de;decidim.components.awesome_map.settings.step.show_not_answered;Neue Schadensmeldungen anzeigen
90961;de;decidim.components.awesome_map.settings.step.show_evaluating;In Bewertung befindliche Schadensmeldungen anzeigen
90962;de;decidim.components.awesome_map.settings.step.show_accepted;Beantwortete Schadensmeldungen anzeigen
90963;de;decidim.components.add_comment_form.opinion.neutral;neutral
90964;de;decidim.budgets.admin.proposals_imports.new.no_components;Es gibt keine weiteren Schadenskomponenten in diesem partizipativen Raum, um die Schadensmeldungen in Projekte zu importieren.
90965;de;decidim.budgets.admin.proposals_imports.new.import_all_accepted_proposals;Alle beantworteten Schadensmeldungen importieren
90966;de;decidim.budgets.admin.proposals_imports.new.create;Importieren Sie Schadensmeldungen in Projekte
90967;de;decidim.budgets.admin.proposals_imports.create.success;%{number} Schadensmeldungen wurden erfolgreich in Projekte importiert
90968;de;decidim.budgets.admin.proposals_imports.create.invalid;Beim Importieren der Schadensmeldungen in Projekte ist ein Problem aufgetreten
90969;de;decidim.application.photos.related_photos;Fotos
90970;de;decidim.admin.models.participatory_process_user_role.roles.valuator;Expert/innen
90971;de;decidim.admin.models.media_link.fields.link;Link
90972;de;decidim.admin.models.conference_user_role.roles.valuator;Expert/in
90973;de;decidim.admin.models.assembly_user_role.roles.valuator;Expert/innen
90974;de;decidim.admin.filters.state_eq.values.rejected;Extern weitergeleitet / nicht zuweisbar
90975;de;decidim.admin.filters.proposals.valuator_role_ids_has.label;Zugewiesene Expert/innen
90976;de;decidim.admin.filters.proposals.state_eq.values.rejected;Extern weitergeleitet / nicht zuweisbar
90977;de;decidim.admin.filters.proposals.state_eq.values.accepted;Beantwortet
90978;de;decidim.admin.filters.proposals.is_emendation_true.values.false;Schäden
90979;de;activerecord.models.decidim/proposals/proposal_note.other;Interne Notizen
90980;de;activerecord.models.decidim/proposals/proposal_note.one;Interne Notiz
90981;de;activerecord.models.decidim/proposals/proposal.other;Schäden
90982;de;activerecord.models.decidim/proposals/proposal.one;Schadensmeldung
90983;de;activemodel.models.decidim/proposals/voting_enabled_event;Schadensabstimmung aktiviert
90984;de;activemodel.models.decidim/proposals/rejected_proposal_event;Meldung extern weitergeleitet / nicht zuweisbar
90985;de;activemodel.models.decidim/proposals/publish_proposal_event;Schadensmeldung veröffentlicht
90986;de;activemodel.models.decidim/proposals/proposal_mentioned_event;Schadensmeldung erwähnt
90987;de;activemodel.models.decidim/proposals/evaluating_proposal_event;Die Schadensmeldung wird geprüft
90988;de;decidim.proposals.proposals.preview.announcement_body;"Ihre Meldung ist aktuell ein Entwurf. Bitte prüfen Sie Ihre Meldung auf Vollständigkeit und dass sie keine persönlichen Daten Dritter enthält (Kontaktdaten, Autonummern, Bilder mit Personen, etc,).  <br> <br> <strong>Bestätigen Sie dies über den Button ""Meldung absenden"". </strong><br> <br> Ihre Meldung wird in der Regel innerhalb von 5 Arbeitstagen beantwortet."
90989;de;decidim.reporting_proposals.admin.evaluate_pending.datetime.distance_in_words.x_days.other;Noch %{count} Tage Zeit für eine erste Antwort
90990;de;decidim.reporting_proposals.admin.evaluate_pending.datetime.distance_in_words.x_days.one;Noch 1 Tag für eine erste Antwort
90991;de;decidim.reporting_proposals.admin.answer_pending.datetime.distance_in_words.x_days.other;Noch %{count} Tage zur Bearbeitung
90992;de;decidim.reporting_proposals.admin.answer_pending.datetime.distance_in_words.x_days.one;Noch 1 Zeit zur Bearbeitung
90993;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.x_seconds.zero;jetzt fällig
90994;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.x_minutes.one;1 Minute überfällig
90995;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.x_hours.other;%{count} Stunden überfällig
90996;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.x_hours.one;1 Stunde überfällig
90997;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.x_days.one;1 Tag überfällig
90998;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.less_than_x_seconds.one;jetzt fällig
90999;de;decidim.proposals.proposals.index.new_proposal;Schaden melden
91000;de;decidim.proposals.proposals.count.proposals_count.one;%{count} Schadensmeldung
91001;de;decidim.proposals.proposals.index.click_here;Alle Schadensmeldungen ansehen
91002;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.less_than_x_minutes.one;weniger als eine Minute überfällig
91003;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.about_x_months.other;%{count} Monate überfällig
91004;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.about_x_months.one;1 Monat überfällig
91005;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.about_x_hours.other;%{count} Stunden überfällig
91006;de;decidim.reporting_proposals.admin.answer_overdue.datetime.distance_in_words.about_x_hours.one;eine Stunde überfällig
91007;de;decidim.proposals.withdraw.errors.has_supports;Diese Schadensmeldung kann nicht zurückgezogen werden, da sie bereits Unterstützung hat.
91008;de;decidim.proposals.versions.proposals.back_to_resource;zur Übersicht
91009;de;decidim.proposals.update_draft.success;Der Entwurf wurde erfolgreich aktualisiert.
91010;de;decidim.proposals.update_draft.error;Beim Speichern des Entwurfs ist ein Fehler aufgetreten.
91011;de;decidim.proposals.update.success;Schadensmeldung wurde erfolgreich aktualisiert.
91012;de;decidim.proposals.update.error;Beim Speichern der Schadensmeldungs ist ein Fehler aufgetreten.
91013;de;decidim.proposals.publish_answers.success;Antwort wurden erfolgreich veröffentlicht.
91014;de;decidim.proposals.publish.success;Vielen Dank für Ihre Meldung!
91015;de;decidim.proposals.publish.error;Beim Absenden der Schadensmeldung ist ein Fehler aufgetreten.
91016;de;decidim.proposals.proposals_picker.no_proposals;Keine Schadensmeldung entspricht Ihren Suchkriterien oder es ist keine Schadensmeldung geplant.
91017;de;decidim.proposals.proposals_picker.more_proposals;Es gibt %{number} weitere Schäden. Spezifizieren Sie Ihre Suche, um sie zu finden.
91018;de;decidim.proposals.proposals_picker.choose_proposals;Schadensmeldungen auswählen
91019;de;decidim.proposals.proposals.wizard_steps.step_4;Absenden
91020;de;decidim.proposals.proposals.wizard_steps.step_1;Erfassen
91021;de;decidim.proposals.proposals.wizard_aside.info; 
91022;de;decidim.proposals.proposals.wizard_aside.back_from_step_4;Meldung anpassen
