id;locale;key;value
86834;de;activemodel.attributes.close_meeting.proposal_ids;Erarbeitete Vorschläge
86634;de;activemodel.attributes.proposal.automatic_hashtags;Hashtags, die jedem Vorschlag automatisch hinzugefügt werden.
86635;de;activemodel.attributes.proposal.decidim_scope_id;Thema
86636;de;activemodel.attributes.proposal.has_address;Hat einen Standort
86637;de;activemodel.attributes.proposal.suggested_hashtags;Hashtags, die von Nutzenden angewählt werden können.
86638;de;activemodel.attributes.proposals_import.keep_authors;Behalte die ursprünglichen Autoren
86656;de;activemodel.models.decidim/proposals/admin/update_proposal_scope_event;Vorschlagsthema geändert
86657;de;activemodel.models.decidim/proposals/endorsing_enabled_event;Gefällt mir Angabe aktiviert
86658;de;activemodel.models.decidim/proposals/voting_enabled_event;Stimmabgabe für die Vorschläge aktiviert
86869;de;decidim.admin.filters.proposals.is_emendation_true.values.true;Änderungsvorschläge
86870;de;decidim.admin.filters.proposals.scope_id_eq.label;Bereich
86871;de;decidim.admin.filters.proposals.state_eq.values.accepted;Akzeptiert
86872;de;decidim.admin.filters.proposals.state_eq.values.evaluating;In Abklärung
86873;de;decidim.admin.filters.proposals.state_eq.values.rejected;Abgewiesen
86874;de;decidim.admin.filters.proposals.state_eq.values.validating;Technische Abklärung
86875;de;decidim.admin.filters.proposals.valuator_role_ids_has.label;Zugewiesen zu dem Schätzer
87020;de;decidim.budgets.admin.proposals_imports.create.invalid;Beim Importieren der Vorschläge in Projekte ist ein Problem aufgetreten
87021;de;decidim.budgets.admin.proposals_imports.create.success;%{number} Vorschläge wurden erfolgreich in Projekte importiert
87022;de;decidim.budgets.admin.proposals_imports.new.create;Importiere Vorschläge in Projekte
87023;de;decidim.budgets.admin.proposals_imports.new.select_component;Bitte wähle eine Komponente aus
87024;de;decidim.budgets.admin.proposals_imports.new.title;Vorschläge importieren
87095;de;decidim.components.proposals.actions.endorse;Gefällt mir
87096;de;decidim.components.proposals.actions.vote;Stimmabgabe
87097;de;decidim.components.proposals.settings.global.amendments_enabled;Änderungsvorschläge aktiviert (Spezialfunktion nur nach Absprache)
87098;de;decidim.components.proposals.settings.global.amendments_enabled_help;Du kannst die Einzelheiten der Vorschlagsänderungen in den einzelnen Einstellungen pro Phase (unten) konfigurieren.
87099;de;decidim.components.proposals.settings.global.amendments_wizard_help_text;Hilfetext bei Änderungsvorschlägen
87100;de;decidim.components.proposals.settings.global.announcement;Ankündigung (kommt oberhalb des Textes in einem blauen Balken zu stehen)
87101;de;decidim.components.proposals.settings.global.collaborative_drafts_enabled;Kollaborative Entwürfe aktiviert (Spezifalfunktion, nur nach Absprache)
87102;de;decidim.components.proposals.settings.global.comments_enabled;Kommentare unter den Vorschlägen erlauben.
87103;de;decidim.components.proposals.settings.global.default_sort_order;Vorschlagssortierung
87104;de;decidim.components.proposals.settings.global.default_sort_order_help;«Standardmässig» bedeutet, dass die Vorschläge nach dem Zufallsprinzip sortiert werden, wenn eine Abstimmung aktiviert ist. Wenn die Stimmabgabe ausgeschaltet ist, werden sie nach den meistgewählten Vorschlägen sortiert.
87105;de;decidim.components.proposals.settings.global.default_sort_order_options.most_commented;Meist kommentierte
87106;de;decidim.components.proposals.settings.global.default_sort_order_options.most_endorsed;Meiste Gefällt mir-Angaben
87107;de;decidim.components.proposals.settings.global.default_sort_order_options.most_followed;Meist gefolgte
87108;de;decidim.components.proposals.settings.global.default_sort_order_options.most_voted;Meiste Stimmen
87109;de;decidim.components.proposals.settings.global.default_sort_order_options.with_more_authors;Anzahl Autor/innen
87110;de;decidim.components.proposals.settings.global.geocoding_enabled;Adresseingabe ermöglichen
87111;de;decidim.components.proposals.settings.global.minimum_votes_per_user;Falls eine Person mehrere Stimmen abgeben soll, kann hier ein Minimum defniert werden.
87112;de;decidim.components.proposals.settings.global.new_proposal_body_template;Vorlage für Inhalt von neuen Vorschlägen
87113;de;decidim.components.proposals.settings.global.new_proposal_body_template_help;Du kannst den vorgefüllten Text der neuen Vorschläge bestimmen
87114;de;decidim.components.proposals.settings.global.official_proposals_enabled;Vorschläge sollen auch über das Backend eingegeben werden können.
87115;de;decidim.components.proposals.settings.global.participatory_texts_enabled;Partizipative Texte aktiviert (Spezialfunktion nur nach Absprache)
87116;de;decidim.components.proposals.settings.global.participatory_texts_enabled_readonly;Du kannst diese Funktion nicht aktivieren, wenn bereits Vorschläge in dieser Komponente erstellt wurden. Erstelle ein neues Vorschlagsmodul in den Komponenteneinstellungen.
87117;de;decidim.components.proposals.settings.global.proposal_answering_enabled;Ich möchte Rückmeldungen zu den Vorschlägen geben können.
87118;de;decidim.components.proposals.settings.global.proposal_edit_before_minutes;Vorschläge können von Autoren innerhalb dieser Anzahl Minuten bearbeitet werden. Danach müssen sie per Änderungsvorschlag (siehe unten) angepasst werden.
87119;de;decidim.components.proposals.settings.global.proposal_edit_time;Defniere, wie lange Vorschläge bearbeitbar sein sollen.
87120;de;decidim.components.proposals.settings.global.proposal_length;Maximale Anzahl Zeichen im Beschreibungstext
87121;de;decidim.components.proposals.settings.global.proposal_limit;Definiere hier, falls gewünscht, wie viele Vorschläge pro Person eingegeben werden dürfen (0=unendlich).
87122;de;decidim.components.proposals.settings.global.proposal_wizard_step_2_help_text;"Hilfetext ""Vergleichen""-Schritt im Vorschlagsassistenten"
87123;de;decidim.components.proposals.settings.global.resources_permissions_enabled;Berechtigungen können für jeden Vorschlag festgelegt werden (nur falls Verifizierung genutzt wird).
87124;de;decidim.components.proposals.settings.global.scope_id;Bereich
87125;de;decidim.components.proposals.settings.global.scopes_enabled;Ich möchte die Vorschläge einem Thema zuordnen.
87126;de;decidim.components.proposals.settings.global.threshold_per_proposal;Stimmschwellenwert: Maximale Anzahl Stimmen, die ein Vorschlag erreichen kann (0=unendlich).
87127;de;decidim.components.proposals.settings.global.vote_limit;Falls die Anzahl Stimmen pro Person eingeschränk werden soll, kann hier die Anzahl definiert werden.
;de;decidim.components.proposals.settings.global.voting_cards_instructions_help;"Standardmässig ""Bitte lesen du die Wahlregeln sorgfältig durch, um zu verstehen, wie deine Stimme von %{organization} verwendet wird"""
87128;de;decidim.components.proposals.settings.step.amendments_visibility_help;"Wenn die Option ""Ergänzungen sind nur für ihre Autoren sichtbar"" ausgewählt ist, müssen Teilnehmer eingeloggt sein, um die vorgenommenen Ergänzungen zu sehen."
87129;de;decidim.components.proposals.settings.step.announcement;Ankündigung (kommt oberhalb des Textes in einem blauen Balken zu stehen)
87130;de;decidim.components.proposals.settings.step.answers_with_costs;Kosten für Vorschlagsantworten aktivieren (nur nach Absprache nutzen)
87131;de;decidim.components.proposals.settings.step.automatic_hashtags;Hashtags, die jedem Vorschlag automatisch hinzugefügt werden.
87132;de;decidim.components.proposals.settings.step.comments_blocked;Kommentare blockieren
87134;de;decidim.components.proposals.settings.step.creation_enabled;Wichtig!! In diesem Schritt können Vorschläge eingereicht werden.
87135;de;decidim.components.proposals.settings.step.default_sort_order;Reihenfolge der Anzeige von Vorschlägen
87136;de;decidim.components.proposals.settings.step.default_sort_order_help;«Standardmässig» bedeutet, dass die Vorschläge nach dem Zufallsprinzip sortiert werden, wenn eine Abstimmung aktiviert ist. Wenn die Stimmabgabe ausgeschaltet ist, werden sie nach den meistgewählten Vorschlägen sortiert.
87137;de;decidim.components.proposals.settings.step.default_sort_order_options.most_commented;Meiste Kommentare
87138;de;decidim.components.proposals.settings.step.default_sort_order_options.most_endorsed;Meiste Gefällt mir-Angaben
87139;de;decidim.components.proposals.settings.step.default_sort_order_options.most_followed;Meiste Followers
87140;de;decidim.components.proposals.settings.step.default_sort_order_options.most_voted;Meiste Stimmen
87141;de;decidim.components.proposals.settings.step.default_sort_order_options.recent;Aktuellste
87142;de;decidim.components.proposals.settings.step.default_sort_order_options.with_more_authors;Meiste Autoren
87143;de;decidim.components.proposals.settings.step.endorsements_blocked;Gefällt mir-Angaben blockieren
87144;de;decidim.components.proposals.settings.step.endorsements_enabled;Gefällt mir-Angaben ermöglichen
87145;de;decidim.components.proposals.settings.step.proposal_answering_enabled;In dieser Projektphase sollen Vorschläge beantwortet werden können
87146;de;decidim.components.proposals.settings.step.publish_answers_immediately;Vorschlagsantworten sofort veröffentlichten (falls nein kann ein Zeitpunkt gewählt werden).
87147;de;decidim.components.proposals.settings.step.suggested_hashtags;Hashtags, die von Nutzenden angewählt werden können.
87148;de;decidim.components.proposals.settings.step.votes_blocked;Stimmabgabe ausschalten
87149;de;decidim.components.proposals.settings.step.votes_enabled;Stimmabgabe aktivieren
87150;de;decidim.components.proposals.settings.step.votes_hidden;Anzahl Stimmen nicht anzeigen
;de;decidim.components.reporting_proposals.settings.global.new_proposal_body_template_help;Du kannst einen vorausgefüllten Text in neuen Meldungen bestimmen
