id;locale;key;value
86798;de;activemodel.attributes.account.delete_reason;Grund, dein Konto zu löschen
86846;de;activemodel.attributes.confirmation.verification_code;Verifizierungscode
86847;de;activemodel.attributes.id_document_upload.document_type;Art deines Dokuments
86580;de;activemodel.attributes.id_document_upload.verification_attachment;Gescannte Kopie deines Dokuments
86602;de;activemodel.attributes.mobile_phone.mobile_phone_number;Trage hier deine Handynummer ein (Format 07x xxx xx xx)
;de;activemodel.attributes.user.email;Deine E-Mail
76542;de;activemodel.attributes.user.name;Mein Name (wird in Beiträgen öffentlich angezeigt)
76541;de;activemodel.attributes.user.nickname;Kürzel
;de;activemodel.attributes.user.password_confirmation;Bestätigen du dein Passwort
;de;activemodel.errors.models.organization.attributes.password.secret_key;Du musst die SECRET_KEY_BASE Umgebungsvariable definieren, um dieses Feld speichern zu können
;de;decidim.account.delete.alert;Diese Aktion kann nicht rückgängig gemacht werden. Wenn du dein Konto löschen, können du sich nicht mehr anmelden. Mit der Löschung ihres Kontos werden deine Beiträge anonymisiert. Du kannst später wieder ein neues Konto erstellen, aber diese Beiträge werden nicht mehr mit dem neuen Konto verknüpft sein.
;de;decidim.account.delete.confirm.question;Sind du sicher, dass du dein Konto löschen möchten?
;de;decidim.account.delete.explanation;Bitte geben du den Grund an, warum du dein Konto löschen möchten (optional).
;de;decidim.account.delete.leaving_authorizations_behind;Einige Daten, die an deine Autorisierung gebunden sind, werden aus Sicherheitsgründen gespeichert. Wenn du ein anderes Konto erstellen und erneut autorisieren, werden diese Daten auf dein neues Konto wiederhergestellt.
86660;de;decidim.account.destroy.error;Beim Löschen deines Kontos ist ein Fehler aufgetreten.
86659;de;decidim.account.destroy.success;Dein Konto wurde erfolgreich gelöscht.
;de;decidim.account.download_your_data_export.notice;deine Daten werden gerade bereitgestellt. Du erhältst nach Fertigstellung eine E-Mail.
;de;decidim.account.email_change.body1;Wir haben eine E-Mail an %{unconfirmed_email} gesendet, um deine neue E-Mail-Adresse zu verifizieren.
86661;de;decidim.account.show.available_locales_helper;Wähle die Sprache aus, die du verwenden möchtest, um in Decidim zu surfen und Benachrichtigungen zu erhalten
86662;de;decidim.account.update.error;Beim Aktualisieren deines Kontos ist ein Fehler aufgetreten.
86663;de;decidim.account.update.success;Dein Konto wurde erfolgreich aktualisiert.
86664;de;decidim.account.update.success_with_email_confirmation;Dein Konto wurde erfolgreich aktualisiert. Du erhältst eine E-Mail zur Bestätigung deiner neuen E-Mail-Adresse.
;de;decidim.admin.password_change.alert;Du musst dein Passwort ändern, um fortzufahren.
